Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Idly [2 Nos]","Idli (2)",,1,,,,,"Idli Varities",,25,veg,,,0,,,1,0,Yes
"Sambar Idly","Sambar Idli",,2,,,,,"Idli Varities",,40,veg,,,0,,,1,0,Yes
"Fried Idly","Fried Idli",,384,,,,,"Idli Varities",,60,veg,,,0,,,1,0,Yes
"Chilly Idly","Chilli Idli",,456,,,,,"Idli Varities",,70,veg,,,0,,,1,0,Yes
"Plain Dosai","Plain Dosai",,303,,,,,"Dosai Varities",,30,veg,,,0,,,1,0,Yes
"Kal Dosai","Kal Dosai",,4,,,,,"Dosai Varities",,30,veg,,,0,,,1,0,Yes
Roast,Roast,,3,,,,,"Dosai Varities",,60,veg,,,0,,,1,0,Yes
"Podi Dosai","Podi Dosai",,5,,,,,"Dosai Varities",,40,veg,,,0,,,1,0,Yes
"Podi Roast","Podi Roast",,418,,,,,"Dosai Varities",,70,veg,,,0,,,1,0,Yes
"Tomato Uthappam","Tomato Uthappam",,7,,,,,"Dosai Varities",,70,veg,,,0,,,1,0,Yes
"Egg Dosai","Egg Dosai",,8,,,,,"Dosai Varities",,60,egg,,,0,,,1,0,Yes
"Egg Roast","Egg Roast",,309,,,,,"Dosai Varities",,80,egg,,,0,,,1,0,Yes
"Onion Roast","Onion Roast",,10,,,,,"Dosai Varities",,90,veg,,,0,,,1,0,Yes
"Masal Roast","Masal Roast",,12,,,,,"Dosai Varities",,90,veg,,,0,,,1,0,Yes
"Ghee Roast","Ghee Roast",,9,,,,,"Dosai Varities",,100,veg,,,0,,,1,0,Yes
"Onion Ghee Roast","Onion Ghee Roast",,11,,,,,"Dosai Varities",,120,veg,,,0,,,1,0,Yes
"Ghee Masal Roast","Ghee Masal Roast",,475,,,,,"Dosai Varities",,130,veg,,,0,,,1,0,Yes
"Paneer Roast","Paneer Roast",,13,,,,,"Dosai Varities",,120,veg,,,0,,,1,0,Yes
